iter	Passed	Remaining
0	20	20192
1	39	19825
2	55	18561
3	72	18151
4	89	17785
5	106	17576
6	123	17538
7	141	17485
8	158	17420
9	178	17665
10	195	17569
11	213	17544
12	229	17415
13	254	17923
14	273	17954
15	291	17913
16	307	17770
17	324	17702
18	342	17700
19	360	17661
20	377	17614
21	395	17570
22	411	17498
23	428	17428
24	446	17421
25	464	17384
26	482	17403
27	501	17396
28	518	17360
29	537	17369
30	554	17345
31	578	17496
32	596	17479
33	616	17518
34	633	17467
35	650	17429
36	668	17395
37	686	17382
38	704	17350
39	721	17312
40	738	17267
41	756	17246
42	772	17198
43	790	17182
44	808	17150
45	825	17126
46	843	17097
47	860	17059
48	877	17023
49	893	16980
50	910	16949
51	927	16914
52	944	16875
53	962	16864
54	980	16842
55	997	16818
56	1015	16807
57	1032	16767
58	1049	16741
59	1066	16714
60	1085	16707
61	1101	16667
62	1117	16622
63	1133	16578
64	1152	16573
65	1169	16556
66	1186	16522
67	1203	16488
68	1221	16483
69	1239	16462
70	1255	16430
71	1273	16412
72	1290	16387
73	1306	16352
74	1323	16328
75	1342	16317
76	1358	16287
77	1377	16282
78	1393	16244
79	1409	16207
80	1427	16194
81	1444	16167
82	1461	16142
83	1478	16123
84	1496	16106
85	1511	16067
86	1529	16056
87	1547	16039
88	1564	16010
89	1571	15891
90	1586	15852
91	1603	15830
92	1621	15810
93	1637	15784
94	1655	15774
95	1671	15740
96	1688	15717
97	1704	15685
98	1722	15675
99	1739	15652
100	1756	15636
101	1773	15616
102	1791	15598
103	1808	15582
104	1826	15569
105	1842	15542
106	1860	15525
107	1879	15520
108	1898	15521
109	1916	15506
110	1926	15429
111	1942	15398
112	1959	15380
113	1976	15362
114	1994	15350
115	2013	15341
116	2029	15314
117	2054	15355
118	2073	15348
119	2091	15339
120	2107	15309
121	2126	15304
122	2144	15293
123	2161	15271
124	2178	15250
125	2195	15231
126	2218	15248
127	2237	15243
128	2256	15233
129	2274	15220
130	2290	15195
131	2308	15178
132	2326	15165
133	2344	15151
134	2362	15136
135	2381	15131
136	2399	15115
137	2417	15097
138	2434	15079
139	2451	15057
140	2470	15052
141	2491	15053
142	2508	15035
143	2517	14964
144	2535	14952
145	2553	14938
146	2570	14915
147	2590	14910
148	2607	14893
149	2624	14872
150	2637	14831
151	2656	14820
152	2674	14807
153	2692	14788
154	2703	14736
155	2720	14718
156	2736	14695
157	2755	14683
158	2767	14638
159	2781	14600
160	2795	14566
161	2812	14549
162	2829	14529
163	2846	14511
164	2858	14463
165	2876	14452
166	2895	14441
167	2904	14384
168	2921	14363
169	2938	14346
170	2960	14352
171	2978	14339
172	2999	14336
173	3018	14327
174	3035	14311
175	3053	14294
176	3063	14242
177	3078	14214
178	3091	14178
179	3107	14157
180	3117	14108
181	3129	14066
182	3145	14044
183	3162	14023
184	3180	14009
185	3196	13989
186	3210	13957
187	3227	13940
188	3245	13928
189	3263	13911
190	3281	13899
191	3296	13870
192	3314	13857
193	3328	13826
194	3341	13793
195	3354	13759
196	3370	13738
197	3386	13718
198	3403	13699
199	3422	13688
200	3439	13672
201	3457	13658
202	3475	13644
203	3492	13627
204	3506	13597
205	3519	13564
206	3539	13558
207	3554	13536
208	3573	13526
209	3593	13518
210	3609	13496
211	3627	13483
212	3637	13440
213	3651	13412
214	3670	13401
215	3689	13390
216	3705	13369
217	3721	13349
218	3739	13336
219	3755	13313
220	3771	13293
221	3786	13271
222	3798	13236
223	3814	13213
224	3832	13199
225	3849	13183
226	3866	13165
227	3883	13151
228	3901	13135
229	3918	13117
230	3939	13114
231	3954	13089
232	3968	13064
